,endTime,year,month,day,hour,artist,album,track,genres,minutesPlayed,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1054,2021-05-05 00:37:00,2021,5,5,0,Jorge Drexler,Eco,Todo se transforma,"['cantautor', 'latin afrobeat', 'latin alternative', 'latin rock', 'nueva cancion', 'rock en espanol']",2.57,4YEU9N2XAE0DfUwxWI5ijA,0.761,0.488,9,-7.326,1,0.043,0.199,0.00236,0.0864,0.682,100.024
1055,2021-05-08 00:59:00,2021,5,8,0,Kings of Leon,Youth And Young Manhood,Red Morning Light,"['modern rock', 'rock']",0.07,5nbVi62Tuwj465QksHK7GM,0.528,0.797,9,-5.387,1,0.044,0.0792,0.0,0.327,0.877,160.848
1056,2021-05-09 16:36:00,2021,5,9,16,Kings of Leon,Youth And Young Manhood,Red Morning Light,"['modern rock', 'rock']",0.09,5nbVi62Tuwj465QksHK7GM,0.528,0.797,9,-5.387,1,0.044,0.0792,0.0,0.327,0.877,160.848
1057,2021-05-23 14:00:00,2021,5,23,14,Kings of Leon,Youth And Young Manhood,Red Morning Light,"['modern rock', 'rock']",2.99,5nbVi62Tuwj465QksHK7GM,0.528,0.797,9,-5.387,1,0.044,0.0792,0.0,0.327,0.877,160.848
1058,2021-08-16 12:08:00,2021,8,16,12,Kings of Leon,Youth And Young Manhood,Red Morning Light,"['modern rock', 'rock']",0.05,5nbVi62Tuwj465QksHK7GM,0.528,0.797,9,-5.387,1,0.044,0.0792,0.0,0.327,0.877,160.848
1059,2021-09-15 17:18:00,2021,9,15,17,Kings of Leon,Youth And Young Manhood,Red Morning Light,"['modern rock', 'rock']",0.05,5nbVi62Tuwj465QksHK7GM,0.528,0.797,9,-5.387,1,0.044,0.0792,0.0,0.327,0.877,160.848
1060,2021-05-08 00:59:00,2021,5,8,0,Nelly,Nellyville,Dilemma,"['dance pop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'st louis rap', 'urban contemporary']",0.03,4nthV2eZAXnt4yiJMocLkG,0.73,0.552,2,-8.177,0,0.146,0.18,6.14e-05,0.224,0.613,168.091
1061,2021-08-16 12:01:00,2021,8,16,12,Nelly,Nellyville,Dilemma,"['dance pop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'st louis rap', 'urban contemporary']",4.82,4nthV2eZAXnt4yiJMocLkG,0.73,0.552,2,-8.177,0,0.146,0.18,6.14e-05,0.224,0.613,168.091
1062,2021-09-15 17:17:00,2021,9,15,17,Nelly,Nellyville,Dilemma,"['dance pop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'st louis rap', 'urban contemporary']",0.0,4nthV2eZAXnt4yiJMocLkG,0.73,0.552,2,-8.177,0,0.146,0.18,6.14e-05,0.224,0.613,168.091
1063,2021-05-10 12:45:00,2021,5,10,12,The Walkmen,Day of the Dead,Ripple,"['alternative rock', 'freak folk', 'indie rock', 'modern rock', 'noise pop', 'stomp and holler']",1.61,28oDHwPpedYnbOsjI2Ta4N,0.421,0.456,7,-7.905,1,0.0373,0.8,4.01e-05,0.088,0.48,119.238
